city,time,temperature
Torino,2025-06-02 00:00:00,20.4
Torino,2025-06-02 01:00:00,20.3
Torino,2025-06-02 02:00:00,19.5
Torino,2025-06-02 03:00:00,19.3
Torino,2025-06-02 04:00:00,19.2
Torino,2025-06-02 05:00:00,19.4
Torino,2025-06-02 06:00:00,19.7
Torino,2025-06-02 07:00:00,20.0
Torino,2025-06-02 08:00:00,21.0
Torino,2025-06-02 09:00:00,21.2
Torino,2025-06-02 10:00:00,20.9
Torino,2025-06-02 11:00:00,21.1
Torino,2025-06-02 12:00:00,22.2
Torino,2025-06-02 13:00:00,23.1
Torino,2025-06-02 14:00:00,23.6
Torino,2025-06-02 15:00:00,23.6
Torino,2025-06-02 16:00:00,24.0
Torino,2025-06-02 17:00:00,23.3
Torino,2025-06-02 18:00:00,22.1
Torino,2025-06-02 19:00:00,20.4
Torino,2025-06-02 20:00:00,20.2
Torino,2025-06-02 21:00:00,18.2
Torino,2025-06-02 22:00:00,18.2
Torino,2025-06-02 23:00:00,18.1
Torino,2025-06-03 00:00:00,18.4
Torino,2025-06-03 01:00:00,18.2
Torino,2025-06-03 02:00:00,18.2
Torino,2025-06-03 03:00:00,18.2
Torino,2025-06-03 04:00:00,18.2
Torino,2025-06-03 05:00:00,18.4
Torino,2025-06-03 06:00:00,18.7
Torino,2025-06-03 07:00:00,19.5
Torino,2025-06-03 08:00:00,20.7
Torino,2025-06-03 09:00:00,22.1
Torino,2025-06-03 10:00:00,23.4
Torino,2025-06-03 11:00:00,24.2
Torino,2025-06-03 12:00:00,25.0
Torino,2025-06-03 13:00:00,25.7
Torino,2025-06-03 14:00:00,26.3
Torino,2025-06-03 15:00:00,26.2
Torino,2025-06-03 16:00:00,26.2
Torino,2025-06-03 17:00:00,26.0
Torino,2025-06-03 18:00:00,24.9
Torino,2025-06-03 19:00:00,23.5
Torino,2025-06-03 20:00:00,22.8
Torino,2025-06-03 21:00:00,22.1
Torino,2025-06-03 22:00:00,21.1
Torino,2025-06-03 23:00:00,20.5
Torino,2025-06-04 00:00:00,20.1
Torino,2025-06-04 01:00:00,19.4
Torino,2025-06-04 02:00:00,18.9
Torino,2025-06-04 03:00:00,18.3
Torino,2025-06-04 04:00:00,18.0
Torino,2025-06-04 05:00:00,18.0
Torino,2025-06-04 06:00:00,18.6
Torino,2025-06-04 07:00:00,19.2
Torino,2025-06-04 08:00:00,19.6
Torino,2025-06-04 09:00:00,19.4
Torino,2025-06-04 10:00:00,18.9
Torino,2025-06-04 11:00:00,18.0
Torino,2025-06-04 12:00:00,17.1
Torino,2025-06-04 13:00:00,17.4
Torino,2025-06-04 14:00:00,17.7
Torino,2025-06-04 15:00:00,17.8
Torino,2025-06-04 16:00:00,18.1
Torino,2025-06-04 17:00:00,18.2
Torino,2025-06-04 18:00:00,18.1
Torino,2025-06-04 19:00:00,17.9
Torino,2025-06-04 20:00:00,17.7
Torino,2025-06-04 21:00:00,17.6
Torino,2025-06-04 22:00:00,17.6
Torino,2025-06-04 23:00:00,17.5
Torino,2025-06-05 00:00:00,17.3
Torino,2025-06-05 01:00:00,17.1
Torino,2025-06-05 02:00:00,17.0
Torino,2025-06-05 03:00:00,17.0
Torino,2025-06-05 04:00:00,16.8
Torino,2025-06-05 05:00:00,17.1
Torino,2025-06-05 06:00:00,17.7
Torino,2025-06-05 07:00:00,18.7
Torino,2025-06-05 08:00:00,20.1
Torino,2025-06-05 09:00:00,21.4
Torino,2025-06-05 10:00:00,22.5
Torino,2025-06-05 11:00:00,23.7
Torino,2025-06-05 12:00:00,24.6
Torino,2025-06-05 13:00:00,25.4
Torino,2025-06-05 14:00:00,26.1
Torino,2025-06-05 15:00:00,26.2
Torino,2025-06-05 16:00:00,25.7
Torino,2025-06-05 17:00:00,24.7
Torino,2025-06-05 18:00:00,23.5
Torino,2025-06-05 19:00:00,22.2
Torino,2025-06-05 20:00:00,20.7
Torino,2025-06-05 21:00:00,19.6
